sentence1,sentence2,label
Tôi muốn mặc đi cà phê,Trang phục bảo hộ lao động,0
Tôi muốn phong cách tối giản,Đồ bơi đi biển,0
Tôi cần outfit mùa hè,Áo croptop quần jean trẻ trung,1
Tôi thích phong cách năng động,Áo croptop quần jean trẻ trung,1
Tôi muốn mặc đi cà phê,Đồ tập gym chuyên dụng,0
Tôi cần đồ tập thể thao,Đồ tập gym chuyên dụng,0
Tôi thích phong cách năng động,Áo thun trắng quần jean xanh giày sneaker,1
Tôi cần đồ tập thể thao,Đồ tập gym chuyên dụng,0
Tôi cần đồ đi làm,Áo khoác dạ khăn len giày boots,1
Tôi cần đồ đi làm,Áo sơ mi quần tây giày da công sở,1
Tôi muốn outfit dự tiệc,Áo thun trắng quần jean xanh giày sneaker,1
Tôi muốn mặc đi cà phê,Vest cưới sang trọng,0
Tôi muốn outfit dự tiệc,Áo khoác dạ khăn len giày boots,1
Tôi cần đồ tập thể thao,Áo sơ mi quần tây giày da công sở,1
Tôi muốn outfit dự tiệc,Áo polo quần kaki phong cách tối giản,1
Tôi thích phong cách năng động,Đồ tập gym chuyên dụng,0
Tôi cần đồ đi làm,Bộ đồ thể thao cùng giày chạy bộ,1
Tôi muốn mặc đi cà phê,Trang phục bảo hộ lao động,0
Tôi muốn outfit đi học,Áo khoác mùa đông dày,0
Tôi cần outfit mùa hè,Áo Hawaii quần short dép sandal,1
Tôi muốn outfit đi học,Bộ đồ thể thao cùng giày chạy bộ,1
Tôi thích phong cách năng động,Áo polo quần kaki phong cách tối giản,1
Tôi cần đồ tập thể thao,Đồ tập gym chuyên dụng,0
Tôi cần outfit mùa hè,Áo croptop quần jean trẻ trung,1
Tôi muốn trang phục mùa đông,Áo sơ mi quần tây giày da công sở,1
Tôi muốn mặc đi cà phê,Bộ đồ thể thao cùng giày chạy bộ,1
Tôi cần đồ tập thể thao,Đồ tập gym chuyên dụng,0
Tôi muốn phong cách tối giản,Vest cưới sang trọng,0
Tôi muốn trang phục mùa đông,Trang phục bảo hộ lao động,0
Tôi cần outfit đi biển,Áo sơ mi quần tây giày da công sở,1
Tôi muốn trang phục mùa đông,Áo sơ mi quần tây giày da công sở,1
Tôi cần đồ đi làm,Đầm dự tiệc thanh lịch cùng giày cao gót,1
Tôi muốn trang phục mùa đông,Áo sơ mi quần tây giày da công sở,1
Tôi cần đồ tập thể thao,Áo Hawaii quần short dép sandal,1
Tôi muốn outfit dự tiệc,Đầm dự tiệc thanh lịch cùng giày cao gót,1
Tôi cần outfit đi biển,Áo polo quần kaki phong cách tối giản,1
Tôi cần đồ tập thể thao,Đồ bơi đi biển,0
Tôi muốn mặc đi cà phê,Đầm dự tiệc thanh lịch cùng giày cao gót,1
Tôi muốn outfit đi học,Áo thun trắng quần jean xanh giày sneaker,1
Tôi cần outfit mùa hè,Trang phục bảo hộ lao động,0
Tôi muốn mặc đi cà phê,Đầm dự tiệc thanh lịch cùng giày cao gót,1
Tôi thích phong cách năng động,Áo sơ mi quần tây giày da công sở,1
Tôi cần outfit mùa hè,Đồ bơi đi biển,0
Tôi muốn phong cách tối giản,Vest cưới sang trọng,0
Tôi cần outfit mùa hè,Đồ bơi đi biển,0
Tôi muốn mặc đi cà phê,Áo khoác dạ khăn len giày boots,1
Tôi cần outfit đi biển,Đồ bơi đi biển,0
Tôi muốn phong cách tối giản,Áo Hawaii quần short dép sandal,1
Tôi cần đồ tập thể thao,Áo croptop quần jean trẻ trung,1
Tôi muốn phong cách tối giản,Bộ đồ thể thao cùng giày chạy bộ,1
Tôi cần outfit đi biển,Áo thun trắng quần jean xanh giày sneaker,1
