product_id,image_reference,product_name,description,image_path,category,image_sha256,product_text,split_group,split
product_029060,31191.jpg,Cabarelli Men Accessory Gift Set,"Gift set - Wallet and Handkerchief Wondering what to give that special someone as a gift?  Your search is over with this classy combination! Sleek cabarelli wallet crafted from pure leather, slim enough to slip inside your jacket or hip pocket without spoiling the silhouette of your ensemble. Adds a quirky yet classy aesthetic into your sartorial choice for the day, when you snap this wallet out. Comes with a handkerchief   Wallet  Dimensions: 10 cm x 12 cm  Textured leather upper Two-fold wallet with a vertical flap Two main compartments Three card holders on the left fold and one buttonable coin pouch on the right One slip pocket on either side of the fold Three card holders and two id holders on the flap   Handkerchief  Dimensions: 42 cm x 42 cm  White cotton kerchief with coloured stripes at the edges (stripe colour may differ from that in photograph)   Care Wipe wallet with clean dry cloth to remove dust Do not store in sunlight",D:\project\data\data\31191.jpg,Accessory Gift Set,dc823a62f3265e2d3e3f16162f3fa3e8317dbfa5c02c0fd413259b30f3f0ba34,"Product: Cabarelli Men Accessory Gift Set. Category: Accessory Gift Set. Description: Gift set - Wallet and Handkerchief Wondering what to give that special someone as a gift?  Your search is over with this classy combination! Sleek cabarelli wallet crafted from pure leather, slim enough to slip inside your jacket or hip pocket without spoiling the silhouette of your ensemble. Adds a quirky yet classy aesthetic into your sartorial choice for the day, when you snap this wallet out. Comes with a handkerchief   Wallet  Dimensions: 10 cm x 12 cm  Textured leather upper Two-fold wallet with a vertical flap Two main compartments Three card holders on the left fold and one buttonable coin pouch on the right One slip pocket on either side of the fold Three card holders and two id holders on the flap   Handkerchief  Dimensions: 42 cm x 42 cm  White cotton kerchief with coloured stripes at the edges (stripe colour may differ from that in photograph)   Care Wipe wallet with clean dry cloth to remove dust Do not store in sunlight",0,validation
product_003958,17367.jpg,Arrow Men Formal Maroon Tie+Cufflink+Pocket square - Combo Pack,"A perfect gift for the man of style, this accessory set comprising a silky microfibre tie, matching cufflinks and a silk handkerchief, is every debonair charmer's dream.  Tie Length : 150 cm Made of 100% microfibre Has ethnic mango print design One loop and brand badge on the inner of the broad tongue to hold the narrow tongue in place  Cufflink Width : 2 cm Square cufflinks with a red enamel front and a crystal embellishment in the centre Hinged back to hold the cuff link in place  Kerchief Square kerchief with a 28 cm width Made of microfibre with ethnic mango print design  Tie and kerchief care Dry clean only",D:\project\data\data\17367.jpg,Accessory Gift Set,e8cc8704616670f6a53adbcd469a677e4269077763261276c92e78c8294cd139,"Product: Arrow Men Formal Maroon Tie+Cufflink+Pocket square - Combo Pack. Category: Accessory Gift Set. Description: A perfect gift for the man of style, this accessory set comprising a silky microfibre tie, matching cufflinks and a silk handkerchief, is every debonair charmer's dream.  Tie Length : 150 cm Made of 100% microfibre Has ethnic mango print design One loop and brand badge on the inner of the broad tongue to hold the narrow tongue in place  Cufflink Width : 2 cm Square cufflinks with a red enamel front and a crystal embellishment in the centre Hinged back to hold the cuff link in place  Kerchief Square kerchief with a 28 cm width Made of microfibre with ethnic mango print design  Tie and kerchief care Dry clean only",1,train
product_001313,58924.jpg,Hakashi Men Combo pack Tie+Cufflink+Pocket square,"Tie+Cufflink+Pocket square Red check tie and cufflinks, red and grey diamond pattern pocket square Round cufflinks with steel coloured rim  hinged back to hold cuff in place",D:\project\data\data\58924.jpg,Accessory Gift Set,ff4dab5d1c058087a95581e8fac38572f8d63c70e8e28ea442fd4bf26ba58959,"Product: Hakashi Men Combo pack Tie+Cufflink+Pocket square. Category: Accessory Gift Set. Description: Tie+Cufflink+Pocket square Red check tie and cufflinks, red and grey diamond pattern pocket square Round cufflinks with steel coloured rim  hinged back to hold cuff in place",2,train
product_031706,31192.jpg,Cabarelli Men Accessory Gift Set,Textured leather upper Two-fold wallet Two main compartments Six card holders on the left fold and a coin pouch with a buttoned closure on the right One slip pocket on either side of the fold Comes with a white cotton handkerchief that has coloured stripes at the edges (stripe colour may differ from that in photograph)  ,D:\project\data\data\31192.jpg,Accessory Gift Set,107c7d2e8f82b40289f62824465854ed7827592ad16e5e68813905ed64dff3ea,Product: Cabarelli Men Accessory Gift Set. Category: Accessory Gift Set. Description: Textured leather upper Two-fold wallet Two main compartments Six card holders on the left fold and a coin pouch with a buttoned closure on the right One slip pocket on either side of the fold Comes with a white cotton handkerchief that has coloured stripes at the edges (stripe colour may differ from that in photograph),3,train
product_025575,25076.jpg,Lino Perros Men Formal Black Accessory Gift Set,"Specially woven on a Jacquard loom for vintage sophistication, this tie and pocket square set with cufflinks from Linos Perros is a great gift option or a delicious self-indulgence. The cosomopolitan man's formal wardrobe is not complete without colour options in ties, cufflinks and pocket kerchiefs.  Tie Length : 150 cm Made of silky loom-woven fabric Patterned black and white design Loop on the tie inner to keep the tongue in place  Cufflinks Width : 1 cm Rectangular steel cufflinks Hinged back to hold the cuff link in place  Handkerchief Square handkerchief with a 30 cm width Made of loom-woven fabric with a matching pattern  Accessory Set care Dry clean only",D:\project\data\data\25076.jpg,Accessory Gift Set,f9c943fa2306688da4ed82b2f80f151b715c693f5b2d08aedd703a934f71d8d5,"Product: Lino Perros Men Formal Black Accessory Gift Set. Category: Accessory Gift Set. Description: Specially woven on a Jacquard loom for vintage sophistication, this tie and pocket square set with cufflinks from Linos Perros is a great gift option or a delicious self-indulgence. The cosomopolitan man's formal wardrobe is not complete without colour options in ties, cufflinks and pocket kerchiefs.  Tie Length : 150 cm Made of silky loom-woven fabric Patterned black and white design Loop on the tie inner to keep the tongue in place  Cufflinks Width : 1 cm Rectangular steel cufflinks Hinged back to hold the cuff link in place  Handkerchief Square handkerchief with a 30 cm width Made of loom-woven fabric with a matching pattern  Accessory Set care Dry clean only",4,train
product_026321,17378.jpg,Arrow Men Formal Purple Tie+Cufflink+Pocket square - Combo Pack," A perfect   gift for the man of style, this accessory set comprising a silky microfiber   tie, matching cufflinks and a silk handkerchief, is every debonair charmer's   dream.  Tie  Length : 150 cm Made of 100% microfiber Has lilac waffle patterns One loop and brand badge on the inner of the broad tongue to hold the   narrow tongue in place  Cufflink  Width : 2 cm Square cufflinks made of steel with embedded design Hinged back to hold the cuff link in place  Kerchief Square kerchief with a 28 cm width Made of silk  Tie and kerchief care Dry clean only",D:\project\data\data\17378.jpg,Accessory Gift Set,818bba768f7ff1345457087f8e287a0c4a5b60f62c66ac4ac25329dd71520915,"Product: Arrow Men Formal Purple Tie+Cufflink+Pocket square - Combo Pack. Category: Accessory Gift Set. Description: A perfect   gift for the man of style, this accessory set comprising a silky microfiber   tie, matching cufflinks and a silk handkerchief, is every debonair charmer's   dream.  Tie  Length : 150 cm Made of 100% microfiber Has lilac waffle patterns One loop and brand badge on the inner of the broad tongue to hold the   narrow tongue in place  Cufflink  Width : 2 cm Square cufflinks made of steel with embedded design Hinged back to hold the cuff link in place  Kerchief Square kerchief with a 28 cm width Made of silk  Tie and kerchief care Dry clean only",5,train
product_011956,25051.jpg,Lino Perros Men Formal Purple Accessory Gift Set,"Specially woven on a Jacquard loom for vintage sophistication, this tie and pocket square set with cufflinks from Linos Perros is a great gift option or a delicious self-indulgence. The cosomopolitan man's formal wardrobe is not complete without colour options in ties, cufflinks and pocket kerchiefs.  Tie Length : 150 cm Made of silky loom-woven fabric Patterned purple design Loop on the tie inner to keep the tongue in place  Cufflinks Width : 1 cm Matching square cufflinks Hinged back to hold the cuff link in place  Handkerchief Square handkerchief with a 30 cm width Made of loom-woven fabric with a matching pattern  Accessory Set care Dry clean only",D:\project\data\data\25051.jpg,Accessory Gift Set,eddd49b7bc122119e2a2a82914f4e5ac446df83c663f1d098da344d22b5cdea7,"Product: Lino Perros Men Formal Purple Accessory Gift Set. Category: Accessory Gift Set. Description: Specially woven on a Jacquard loom for vintage sophistication, this tie and pocket square set with cufflinks from Linos Perros is a great gift option or a delicious self-indulgence. The cosomopolitan man's formal wardrobe is not complete without colour options in ties, cufflinks and pocket kerchiefs.  Tie Length : 150 cm Made of silky loom-woven fabric Patterned purple design Loop on the tie inner to keep the tongue in place  Cufflinks Width : 1 cm Matching square cufflinks Hinged back to hold the cuff link in place  Handkerchief Square handkerchief with a 30 cm width Made of loom-woven fabric with a matching pattern  Accessory Set care Dry clean only",6,train
product_017471,23102.jpg,Turtle Men Formal Blue Tie Cufflink & Pocket Square Set,Blue and white tie with black accents Has a diagonal striped pattern Loop on tie inner to hold end in place Matching square cufflinks made of steel with encrusted crystal Striped pocket square Hinged back to hold the cufflinks in place,D:\project\data\data\23102.jpg,Accessory Gift Set,8ffd4cbfcaeea1dcec46fe5949ed075491481d7c253102c7756a3a5bbbff8223,Product: Turtle Men Formal Blue Tie Cufflink & Pocket Square Set. Category: Accessory Gift Set. Description: Blue and white tie with black accents Has a diagonal striped pattern Loop on tie inner to hold end in place Matching square cufflinks made of steel with encrusted crystal Striped pocket square Hinged back to hold the cufflinks in place,7,test
product_038622,17360.jpg,Arrow Men Formal Red Tie+Cufflink+Pocket square - Combo Pack,"A perfect gift for the man of style, this accessory set comprising a silky microfiber tie, matching cufflinks and a silk handkerchief, is every debonair charmer's dream.  Tie Length: 150 cm Made of 100% microfibre Has diagonal stripes in red One loop and brand badge on the inner of the broad tongue to hold the narrow tongue in place  Cufflink Width: 2 cm Rectangular cufflinks made of steel with a diagonal striped design Hinged back to hold the cuff link in place  Kerchief Square kerchief with a 28 cm width Made of silk   Tie and kerchief care Dry clean only",D:\project\data\data\17360.jpg,Accessory Gift Set,5bfc5c51bbf1808f99c7556c8386133a7e205942dc5548134f75b29a3aa88a43,"Product: Arrow Men Formal Red Tie+Cufflink+Pocket square - Combo Pack. Category: Accessory Gift Set. Description: A perfect gift for the man of style, this accessory set comprising a silky microfiber tie, matching cufflinks and a silk handkerchief, is every debonair charmer's dream.  Tie Length: 150 cm Made of 100% microfibre Has diagonal stripes in red One loop and brand badge on the inner of the broad tongue to hold the narrow tongue in place  Cufflink Width: 2 cm Rectangular cufflinks made of steel with a diagonal striped design Hinged back to hold the cuff link in place  Kerchief Square kerchief with a 28 cm width Made of silk   Tie and kerchief care Dry clean only",8,train
product_004455,25072.jpg,Lino Perros Men Formal Pink Accessory Gift Set,"Specially woven on a Jacquard loom for vintage sophistication, this tie and pocket square set with cufflinks from Linos Perros is a great gift option or a delicious self-indulgence. The cosomopolitan man's formal wardrobe is not complete without colour options in ties, cufflinks and pocket kerchiefs.  Tie Length : 150 cm Made of silky loom-woven fabric Textured pink fabric Loop on the tie inner to keep the tongue in place  Cufflinks Width : 1 cm Matching round cufflinks Hinged back to hold the cuff link in place  Handkerchief Square handkerchief with a 30 cm width Made of loom-woven fabric with a matching pattern  Accessory Set care Dry clean only",D:\project\data\data\25072.jpg,Accessory Gift Set,3548b347ad5e422e05012063b21cab9b8d358db7db3714a75bfa33271717beed,"Product: Lino Perros Men Formal Pink Accessory Gift Set. Category: Accessory Gift Set. Description: Specially woven on a Jacquard loom for vintage sophistication, this tie and pocket square set with cufflinks from Linos Perros is a great gift option or a delicious self-indulgence. The cosomopolitan man's formal wardrobe is not complete without colour options in ties, cufflinks and pocket kerchiefs.  Tie Length : 150 cm Made of silky loom-woven fabric Textured pink fabric Loop on the tie inner to keep the tongue in place  Cufflinks Width : 1 cm Matching round cufflinks Hinged back to hold the cuff link in place  Handkerchief Square handkerchief with a 30 cm width Made of loom-woven fabric with a matching pattern  Accessory Set care Dry clean only",9,train
